SF	Word	Segmentation	Analysis	Freq
syre	süre	syre	Stem	7092
søz	söz	søz	Stem	7087
uzun	uzun	uzun	Stem	6994
fɑrklɯ	farklı	fɑrk-lɯ	Stem-li	6982
ben	ben	ben	Stem	6963
bile	bile	bile	Stem	6823
ɑit	ait	ɑit	Stem	6797
tɑm	tam	tɑm	Stem	6718
ʧynky	çünkü	ʧynky	Stem	6697
sosjɑl	sosyal	sosjɑl	Stem	6685
hiʧ	hiç	hiʧ	Stem	6678
bøjle	böyle	bøjle	Stem	6583
b	b	b	Stem	6575
kyʧyk	küçük	kyʧyk	Stem	6564
insɑn	insan	insɑn	Stem	6544
dije	diye	dije	Stem	6536
ʧeʃitli	çeşitli	ʧeʃit-li	Stem-li	6457
kɑrɑr	karar	kɑrɑr	Stem	6387
jok	yok	jok	Stem	6383
elde	elde	el-de	Stem-loc	6295
neden	neden	neden	Stem	6231
biz	biz	biz	Stem	6202
kontrol	kontrol	kontrol	Stem	6198
jɑni	yani	jɑni	Stem	6185
ɑnɑ	ana	ɑnɑ	Stem	6138
ekonomik	ekonomik	ekonomik	Stem	6130
yniversitei	üniversitesi	yniversite-i	Stem-p3s	6087
jine	yine	jine	Stem	6084
jol	yol	jol	Stem	6084
jeniden	yeniden	jeniden	Stem	6078
herhɑngi	herhangi	herhɑngi	Stem	6057
burɑdɑ	burada	burɑ-dɑ	Stem-loc	6052
hemen	hemen	hemen	Stem	6034
biri	biri	bir-i	Stem-p3s	6025
teknik	teknik	teknik	Stem	6014
kɯsɑ	kısa	kɯsɑ	Stem	6011
bilgisɑjɑr	bilgisayar	bilgisɑjɑr	Stem	5936
eski	eski	eski	Stem	5794
eɰer	eğer	eɰer	Stem	5659
gyny	günü	gyn-y	Stem-p3s	5625
ʤ	c	ʤ	Stem	5585
gelir	gelir	gelir	Stem	5549
sɑɑt	saat	sɑɑt	Stem	5547
tɑrihi	tarihi	tɑrih-i	Stem-p3s	5547
hiʧbir	hiçbir	hiʧbir	Stem	5533
øɰretim	öğretim	øɰretim	Stem	5516
merkezi	merkezi	merkez-i	Stem-p3s	5514
ɑʧɯk	açık	ɑʧɯk	Stem	5508
mymkyn	mümkün	mymkyn	Stem	5493
ʃu	şu	ʃu	Stem	5484
kiʃi	kişi	kiʃi	Stem	5477
s	s	s	Stem	5472
bɑʃkɑnɯ	başkanı	bɑʃkɑn-ɯ	Stem-p3s	5439
etme	etmek	et-me	Stem-vn:inf	5376
ɑrtɯk	artık	ɑrtɯk	Stem	5375
ɑj	ay	ɑj	Stem	5374
geri	geri	geri	Stem	5374
fɑkɑt	fakat	fɑkɑt	Stem	5371
yretim	üretim	yretim	Stem	5342
ɑjrɯ	ayrı	ɑjrɯ	Stem	5321
internet	internet	internet	Stem	5319
m	m	m	Stem	5309
ɑdɯ	adı	ɑd-ɯ	Stem-p3s	5293
toplɑm	toplam	toplɑm	Stem	5275
konuu	konusu	konu-u	Stem-p3s	5191
hɑngi	hangi	hɑngi	Stem	5122
sistemi	sistemi	sistem-i	Stem-p3s	5056
ʧoʤuk	çocuk	ʧoʤuk	Stem	5016
ʃ	ş	ʃ	Stem	4996
bugyn	bugün	bugyn	Stem	4978
gereken	gereken	gerek-en	Stem-part:pres	4963
zɑmɑndɑ	zamanda	zɑmɑn-dɑ	Stem-loc	4956
gørev	görev	gørev	Stem	4928
øɰrenʤi	öğrenci	øɰrenʤi	Stem	4880
jønelik	yönelik	jønelik	Stem	4877
ʃej	şey	ʃej	Stem	4867
gyzel	güzel	gyzel	Stem	4853
ifɑde	ifade	ifɑde	Stem	4830
ɑrɑʃtɯrmɑ	araştırma	ɑrɑʃtɯr-mɑ	Stem-vn:inf	4824
pek	pek	pek	Stem	4764
uluslɑrɑrɑsɯ	uluslararası	ulus-lɑr-ɑrɑsɯ	Stem-pl-arasi	4727
geʧen	geçen	geʧ-en	Stem-part:pres	4718
milli	milli	milli	Stem	4718
proʒe	proje	proʒe	Stem	4704
miljon	milyon	miljon	Stem	4703
tyrly	türlü	tyrly	Stem	4703
kez	kez	kez	Stem	4692
olmɑɑn	olmayan	ol-mɑ-ɑn	Stem-neg-part:pres	4689
ujgulɑmɑ	uygulama	ujgulɑmɑ	Stem	4688
oun	onun	o-un	Stem-gen	4669
birʧok	birçok	birʧok	Stem	4663
iliʃkin	ilişkin	iliʃkin	Stem	4630
kɑmu	kamu	kɑmu	Stem	4629
syrekli	sürekli	syrekli	Stem	4621
tiʤɑret	ticaret	tiʤɑret	Stem	4602
yje	üye	yje	Stem	4588
mevʤut	mevcut	mevʤut	Stem	4586
ikinʤi	ikinci	iki-nʤi	Stem-ord	4581
sɑnɑji	sanayi	sɑnɑji	Stem	4571
durum	durum	durum	Stem	4551
gerek	gerek	gerek	Stem	4488
bøjleʤe	böylece	bøjleʤe	Stem	4447
sonundɑ	sonunda	sonundɑ	Stem	4400
yryn	ürün	yryn	Stem	4385
progrɑm	program	progrɑm	Stem	4385
ortɑ	orta	ortɑ	Stem	4380
ders	ders	ders	Stem	4281
tedɑvi	tedavi	tedɑvi	Stem	4261
dɯʃ	dış	dɯʃ	Stem	4236
jɑkɯn	yakın	jɑkɯn	Stem	4219
itibɑren	itibaren	itibɑren	Stem	4208
hɑvɑ	hava	hɑvɑ	Stem	4203
durumdɑ	durumda	durum-dɑ	Stem-loc	4197
jɑbɑnʤɯ	yabancı	jɑbɑnʤɯ	Stem	4194
konudɑ	konuda	konu-dɑ	Stem-loc	4190
yst	üst	yst	Stem	4173
tespit	tespit	tespit	Stem	4172
jɑpmɑ	yapmak	jɑp-mɑ	Stem-vn:inf	4122
merkez	merkez	merkez	Stem	4110
tekrɑr	tekrar	tekrɑr	Stem	4105
sistem	sistem	sistem	Stem	4099
hɑreket	hareket	hɑreket	Stem	4096
ɑdet	adet	ɑdet	Stem	4090
lisɑns	lisans	lisɑns	Stem	4080
ɑlt	alt	ɑlt	Stem	4067
ulusɑl	ulusal	ulusɑl	Stem	4057
jɑpɑn	yapan	jɑp-ɑn	Stem-part:pres	4042
geniʃ	geniş	geniʃ	Stem	4025
web	web	web	Stem	3990
ʃimdi	şimdi	ʃimdi	Stem	3980
jɑpɯ	yapı	jɑpɯ	Stem	3943
ʧevre	çevre	ʧevre	Stem	3930
ek	ek	ek	Stem	3922
gyvenlik	güvenlik	gyvenlik	Stem	3921
genellikle	genellikle	genellikle	Stem	3913
ortɑk	ortak	ortɑk	Stem	3894
fɑkyltei	fakültesi	fɑkylte-i	Stem-p3s	3893
d	d	d	Stem	3870
pɑrɑ	para	pɑrɑ	Stem	3840
hɑle	hale	hɑl-e	Stem-dat	3835
belli	belli	belli	Stem	3820
tyr	tür	tyr	Stem	3820
gerʧek	gerçek	gerʧek	Stem	3817
tɑrih	tarih	tɑrih	Stem	3817
ɑndɑ	anda	ɑn-dɑ	Stem-loc	3798
dil	dil	dil	Stem	3793
jɯlɯ	yılı	jɯl-ɯ	Stem-p3s	3791
mejdɑnɑ	meydana	mejdɑn-ɑ	Stem-dat	3784
kredi	kredi	kredi	Stem	3780
jɯllɯk	yıllık	jɯllɯk	Stem	3775
sɑn	san	sɑn	Stem	3766
enerʒi	enerji	enerʒi	Stem	3756
birnʤi	birinci	bir-nʤi	Stem-ord	3749
e	e	e	Stem	3748
bilgileri	bilgileri	bilgi-ler-i	Stem-pl-acc	3741
kolɑj	kolay	kolɑj	Stem	3732
jolu	yolu	jol-u	Stem-p3s	3720
jɑklɑʃɯk	yaklaşık	jɑklɑʃɯk	Stem	3716
iʧ	iç	iʧ	Stem	3711
kyltyr	kültür	kyltyr	Stem	3709
beledije	belediye	beledije	Stem	3706
destek	destek	destek	Stem	3701
size	size	siz-e	Stem-dat	3692
konu	konu	konu	Stem	3689
ylke	ülke	ylke	Stem	3668
jyzde	yüzde	jyz-de	Stem-loc	3661
rɑɰmen	rağmen	rɑɰmen	Stem	3656
jeterli	yeterli	jeterli	Stem	3639
hɯzlɯ	hızlı	hɯz-lɯ	Stem-li	3613
ʧɑlɯʃmɑlɑrɯ	çalışmaları	ʧɑlɯʃ-mɑ-lɑr-ɯ	Stem-vn:inf-pl-p3s	3605
bɑʃkɑn	başkan	bɑʃkɑn	Stem	3596
øn	ön	øn	Stem	3588
bilgiler	bilgiler	bilgi-ler	Stem-pl	3588
sɯk	sık	sɯk	Stem	3587
jɑrdɯm	yardım	jɑrdɯm	Stem	3571
ɑʃɑɰɯdɑki	aşağıdaki	ɑʃɑɰɯ-dɑ-ki	Stem-loc-ki	3564
kɑjɯt	kayıt	kɑjɯt	Stem	3559
veren	veren	ver-en	Stem-part:pres	3546
bize	bize	biz-e	Stem-dat	3541
veri	veri	veri	Stem	3541
hɑlk	halk	hɑlk	Stem	3529
ɑlmɑ	almak	ɑl-mɑ	Stem-vn:inf	3506
syrei	süresi	syre-i	Stem-p3s	3471
øɰrenʤiler	öğrenciler	øɰrenʤi-ler	Stem-pl	3469
ørnek	örnek	ørnek	Stem	3467
i	i	i	Stem	3466
dikkɑt	dikkat	dikkɑt	Stem	3464
sɑjɯɯ	sayısı	sɑjɯ-ɯ	Stem-p3s	3460
oldukʧɑ	oldukça	oldukʧɑ	Stem	3455
øzellikleri	özellikleri	øzel-lik-ler-i	Stem-lik-pl-acc	3446
bølymy	bölümü	bølym-y	Stem-p3s	3443
deɰiʃik	değişik	deɰiʃik	Stem	3442
kurum	kurum	kurum	Stem	3441
resmi	resmi	resmi	Stem	3432
bin	bin	bin	Stem	3430
oluʃɑn	oluşan	oluʃ-ɑn	Stem-part:pres	3428
hizmetleri	hizmetleri	hizmet-ler-i	Stem-pl-p3s	3426
gøz	göz	gøz	Stem	3409
hɑttɑ	hatta	hɑttɑ	Stem	3409
tɑkip	takip	tɑkip	Stem	3390
progrɑmɯ	programı	progrɑm-ɯ	Stem-p3s	3377
dørt	dört	dørt	Stem	3370
izin	izin	izin	Stem	3364
durumu	durumu	durum-u	Stem-p3s	3356
birɑz	biraz	birɑz	Stem	3353
bilim	bilim	bilim	Stem	3347
deniz	deniz	deniz	Stem	3343
dɑhil	dahil	dɑhil	Stem	3325
jɑzɯlɯ	yazılı	jɑzɯlɯ	Stem	3316
telefon	telefon	telefon	Stem	3301
meslek	meslek	meslek	Stem	3279
doɰɑl	doğal	doɰɑl	Stem	3272
elektrik	elektrik	elektrik	Stem	3261
kɑlite	kalite	kɑlite	Stem	3261
spor	spor	spor	Stem	3261
grup	grup	grup	Stem	3248
elektronik	elektronik	elektronik	Stem	3237
bɑʃɑrɯlɯ	başarılı	bɑʃɑrɯ-lɯ	Stem-li	3231
eɰitimi	eğitimi	eɰitim-i	Stem-p3s	3231
sijɑsi	siyasi	sijɑsi	Stem	3207
ele	ele	el-e	Stem-dat	3194
ʧɯkɑn	çıkan	ʧɯk-ɑn	Stem-part:pres	3178
ɑlɯnɑn	alınan	ɑlɯn-ɑn	Stem-part:pres	3176
kɑlɑn	kalan	kɑl-ɑn	Stem-part:pres	3140
tɯp	tıp	tɯp	Stem	3138
sɑjɯlɯ	sayılı	sɑjɯlɯ	Stem	3102
birkɑʧ	birkaç	birkɑʧ	Stem	3058
jɑrdɯmʤɯ	yardımcı	jɑrdɯmʤɯ	Stem	3056
jeri	yeri	jer-i	Stem-p3s	3048
dyʃyk	düşük	dyʃyk	Stem	3041
ileri	ileri	ileri	Stem	3025
dereʤe	derece	dereʤe	Stem	3021
genʧ	genç	genʧ	Stem	2995
hep	hep	hep	Stem	2993
normɑl	normal	normɑl	Stem	2960
yjei	üyesi	yje-i	Stem-p3s	2950
otomɑtik	otomatik	otomɑtik	Stem	2944
iʃlem	işlem	iʃlem	Stem	2943
bølge	bölge	bølge	Stem	2938
ʧɑlɯʃɑn	çalışan	ʧɑlɯʃ-ɑn	Stem-part:pres	2936
sɑtɯʃ	satış	sɑt-ɯʃ	Stem-vn:yis	2923
kɑrɑrɯ	kararı	kɑrɑr-ɯ	Stem-p3s	2920
t	t	t	Stem	2903
tɑkdirde	takdirde	tɑkdirde	Stem	2887
kɑn	kan	kɑn	Stem	2881
hɑstɑ	hasta	hɑstɑ	Stem	2880
terʤih	tercih	terʤih	Stem	2876
okul	okul	okul	Stem	2875
ʧɑlɯʃmɑlɑr	çalışmalar	ʧɑlɯʃ-mɑ-lɑr	Stem-vn:inf-pl	2867
giriʃ	giriş	gir-iʃ	Stem-vn:yis	2858
tɑmɑmen	tamamen	tɑmɑmen	Stem	2856
oʤɑk	ocak	oʤɑk	Stem	2846
ev	ev	ev	Stem	2839
toplum	toplum	toplum	Stem	2837
dønemde	dönemde	dønem-de	Stem-loc	2835
dolɑjɯ	dolayı	dolɑjɯ	Stem	2832
biʧimde	biçimde	biʧim-de	Stem-loc	2831
k	k	k	Stem	2821
sɯrɑ	sıra	sɯrɑ	Stem	2821
jerel	yerel	jerel	Stem	2810
yniversite	üniversite	yniversite	Stem	2801
hɑklɑrɯ	hakları	hɑk-lɑr-ɯ	Stem-pl-p3s	2801
gynlyk	günlük	gynlyk	Stem	2799
jønetimi	yönetimi	jønetim-i	Stem-p3s	2792
ønem	önem	ønem	Stem	2788
dønem	dönem	dønem	Stem	2784
ses	ses	ses	Stem	2784
ʤd	cd	ʤd	Stem	2781
serbest	serbest	serbest	Stem	2780
ejlyl	eylül	ejlyl	Stem	2779
sɑjɯn	sayın	sɑjɯn	Stem	2779
y	ü	y	Stem	2765
el	el	el	Stem	2750
tɑlep	talep	tɑlep	Stem	2744
iletiʃim	iletişim	iletiʃim	Stem	2734
ɑlɑndɑ	alanda	ɑlɑn-dɑ	Stem-loc	2731
berɑber	beraber	berɑber	Stem	2730
u	u	u	Stem	2725
ʤevɑp	cevap	ʤevɑp	Stem	2722
bølym	bölüm	bølym	Stem	2717
dynjɑɯn	dünyanın	dynjɑ-ɯn	Stem-gen	2712
hɑlen	halen	hɑlen	Stem	2710
hɑftɑ	hafta	hɑftɑ	Stem	2708
personel	personel	personel	Stem	2705
belki	belki	belki	Stem	2700
dynjɑdɑ	dünyada	dynjɑ-dɑ	Stem-loc	2698
hɑlde	halde	hɑl-de	Stem-loc	2697
bilimsel	bilimsel	bilim-sel	Stem-sal	2689
mɑrt	mart	mɑrt	Stem	2684
kɑnun	kanun	kɑnun	Stem	2674
jerde	yerde	jer-de	Stem-loc	2669
jɑtɯrɯm	yatırım	jɑtɯrɯm	Stem	2667
kurul	kurul	kurul	Stem	2660
hɑk	hak	hɑk	Stem	2657
beʃ	beş	beʃ	Stem	2643
teknoloʒi	teknoloji	teknoloʒi	Stem	2618
sonrɑki	sonraki	sonrɑ-ki	Stem-ki	2616
ekim	ekim	ekim	Stem	2607
ɑrɑdɑ	arada	ɑrɑ-dɑ	Stem-loc	2583
esɑs	esas	esɑs	Stem	2572
kiʃiin	kişinin	kiʃi-in	Stem-gen	2572
servis	servis	servis	Stem	2563
øɰrenʤilerin	öğrencilerin	øɰrenʤi-ler-in	Stem-pl-gen	2555
dolɑjɯsɯjlɑ	dolayısıyla	dolɑjɯsɯjlɑ	Stem	2554
ʧøzym	çözüm	ʧøzym	Stem	2552
belirli	belirli	belirli	Stem	2551
ʤumhurijet	cumhuriyet	ʤumhurijet	Stem	2547
nisɑn	nisan	nisɑn	Stem	2538
sigortɑ	sigorta	sigortɑ	Stem	2537
mɑjɯs	mayıs	mɑjɯs	Stem	2532
sɑvɑʃ	savaş	sɑvɑʃ	Stem	2527
jɑʃɑm	yaşam	jɑʃɑm	Stem	2527
deɰer	değer	deɰer	Stem	2523
sɑjfɑ	sayfa	sɑjfɑ	Stem	2518
tip	tip	tip	Stem	2495
kɑt	kat	kɑt	Stem	2488
birden	birden	birden	Stem	2486
sonuʧ	sonuç	sonuʧ	Stem	2478
køty	kötü	køty	Stem	2477
zor	zor	zor	Stem	2475
ylkemizde	ülkemizde	ylke-miz-de	Stem-p1p-loc	2474
doɰrudɑn	doğrudan	doɰrudɑn	Stem	2473
miljɑr	milyar	miljɑr	Stem	2473
ʤiddi	ciddi	ʤiddi	Stem	2468
insɑnlɑr	insanlar	insɑn-lɑr	Stem-pl	2466
herkes	herkes	herkes	Stem	2464
yʧnʤy	üçüncü	yʧ-nʤy	Stem-ord	2453
ɑɰɯr	ağır	ɑɰɯr	Stem	2446
yjeleri	üyeleri	yje-ler-i	Stem-pl-p3s	2444
jurt	yurt	jurt	Stem	2444
myʃteri	müşteri	myʃteri	Stem	2443
tɑbi	tabi	tɑbi	Stem	2435
siz	siz	siz	Stem	2432
sɑnɑt	sanat	sɑnɑt	Stem	2429
vergi	vergi	vergi	Stem	2428
kullɑnɯm	kullanım	kullɑnɯm	Stem	2427
joɰun	yoğun	joɰun	Stem	2426
sistemleri	sistemleri	sistem-ler-i	Stem-pl-p3s	2421
sizin	sizin	siz-in	Stem-gen	2410
jɯllɑrdɑ	yıllarda	jɯl-lɑr-dɑ	Stem-pl-loc	2407
firmɑ	firma	firmɑ	Stem	2405
fɑɑlijet	faaliyet	fɑɑlijet	Stem	2403
kullɑnɯmɯ	kullanımı	kullɑnɯm-ɯ	Stem-p3s	2403
jere	yere	jer-e	Stem-dat	2399
hesɑp	hesap	hesɑp	Stem	2395
etkili	etkili	etki-li	Stem-li	2389
sɑjɯdɑ	sayıda	sɑjɯ-dɑ	Stem-loc	2387
ɑslɯndɑ	aslında	ɑslɯndɑ	Stem	2381
kitɑp	kitap	kitɑp	Stem	2376
benzer	benzer	benzer	Stem	2372
tɑbii	tabii	tɑbii	Stem	2366
sɑɰlɑmɑ	sağlamak	sɑɰlɑ-mɑ	Stem-vn:inf	2346
gyʧ	güç	gyʧ	Stem	2345
h	h	h	Stem	2341
on	on	on	Stem	2341
ɑlɑnɯ	alanı	ɑlɑn-ɯ	Stem-p3s	2334
gyʧly	güçlü	gyʧ-ly	Stem-li	2328
teslim	teslim	teslim	Stem	2328
verme	vermek	ver-me	Stem-vn:inf	2325
ii	ii	i-i	Stem-p3s	2318
geʧiʤi	geçici	geʧiʤi	Stem	2316
zɑten	zaten	zɑten	Stem	2314
yrynleri	ürünleri	yryn-ler-i	Stem-pl-p3s	2304
kɑjnɑk	kaynak	kɑjnɑk	Stem	2299
ɑrɑɯ	arası	ɑrɑ-ɯ	Stem-p3s	2297
f	f	f	Stem	2297
ɑrdɯndɑn	ardından	ɑrdɯndɑn	Stem	2293
ɑdlɯ	adlı	ɑd-lɯ	Stem-li	2290
ønʤeki	önceki	ønʤe-ki	Stem-ki	2288
beri	beri	beri	Stem	2286
kɑdɯn	kadın	kɑdɯn	Stem	2286
jɯldɑ	yılda	jɯl-dɑ	Stem-loc	2285
gøsteren	gösteren	gøster-en	Stem-part:pres	2284
jɑjɯn	yayın	jɑjɯn	Stem	2283
kullɑnɑrɑk	kullanarak	kullɑn-ɑrɑk	Stem-cv:erek	2276
mɑl	mal	mɑl	Stem	2274
bɑzen	bazen	bɑzen	Stem	2257
ɑjlɯk	aylık	ɑjlɯk	Stem	2252
kesin	kesin	kesin	Stem	2250
gørme	görmek	gør-me	Stem-vn:inf	2248
ihtijɑʧ	ihtiyaç	ihtijɑʧ	Stem	2247
ilgi	ilgi	ilgi	Stem	2246
bɑʃvuru	başvuru	bɑʃvuru	Stem	2245
ɑskeri	askeri	ɑskeri	Stem	2242
geleʤek	gelecek	geleʤek	Stem	2238
fijɑt	fiyat	fijɑt	Stem	2234
sorun	sorun	sorun	Stem	2234
sonrɑɯ	sonrası	sonrɑ-ɯ	Stem-p3s	2224
sɯnɑv	sınav	sɯnɑv	Stem	2222
øjle	öyle	øjle	Stem	2221
jɑlnɯzʤɑ	yalnızca	jɑlnɯzʤɑ	Stem	2218
jɑnɯ	yanı	jɑn-ɯ	Stem-p3s	2218
ɑile	aile	ɑile	Stem	2209
tɑblo	tablo	tɑblo	Stem	2209
yretimi	üretimi	yretim-i	Stem-p3s	2201
ortɑlɑmɑ	ortalama	ortɑlɑmɑ	Stem	2196
iʧi	içi	iʧ-i	Stem-p3s	2193
jɑzɯ	yazı	jɑzɯ	Stem	2192
hizmeti	hizmeti	hizmet-i	Stem-p3s	2184
hɑzɯr	hazır	hɑzɯr	Stem	2181
odɑ	oda	odɑ	Stem	2179
tiʤɑri	ticari	tiʤɑri	Stem	2176
ʃøjle	şöyle	ʃøjle	Stem	2175
etkii	etkisi	etki-i	Stem-p3s	2174
belgei	belgesi	belge-i	Stem-p3s	2173
bɑsɯn	basın	bɑsɯn	Stem	2172
nedeni	nedeni	neden-i	Stem-p3s	2168
mɑli	mali	mɑli	Stem	2163
mutlɑkɑ	mutlaka	mutlɑkɑ	Stem	2161
rɑpor	rapor	rɑpor	Stem	2153
olumlu	olumlu	olumlu	Stem	2150
ɑltɯ	altı	ɑltɯ	Stem	2142
geʧ	geç	geʧ	Stem	2138
sɑɰlɯklɯ	sağlıklı	sɑɰlɯk-lɯ	Stem-li	2138
ilɑn	ilan	ilɑn	Stem	2136
kɑsɯm	kasım	kɑsɯm	Stem	2134
jetkili	yetkili	jetki-li	Stem-li	2131
ødeme	ödeme	øde-me	Stem-vn:inf	2129
jɑndɑn	yandan	jɑn-dɑn	Stem-abl	2129
ʤezɑ	ceza	ʤezɑ	Stem	2116
ɑn	an	ɑn	Stem	2115
hɑber	haber	hɑber	Stem	2113
hɑzirɑn	haziran	hɑzirɑn	Stem	2110
korumɑ	koruma	koru-mɑ	Stem-vn:inf	2110
hykymet	hükümet	hykymet	Stem	2108
jɑlnɯz	yalnız	jɑlnɯz	Stem	2106
ʃirket	şirket	ʃirket	Stem	2103
ɑʃɑɰɯdɑ	aşağıda	ɑʃɑɰɯ-dɑ	Stem-loc	2097
hukuk	hukuk	hukuk	Stem	2097
zɑrɑr	zarar	zɑrɑr	Stem	2092
turizm	turizm	turizm	Stem	2083
ɑb	ab	ɑb	Stem	2080
etkin	etkin	etkin	Stem	2080
kullɑnɯʤɯ	kullanıcı	kul-lɑn-ɯʤɯ	Stem-lan-yici	2079
mydyry	müdürü	mydyr-y	Stem-p3s	2076
modern	modern	modern	Stem	2076
defɑ	defa	defɑ	Stem	2071
ɑlɯnmɑɯ	alınması	ɑlɯn-mɑ-ɯ	Stem-vn:inf-p3s	2067
bej	bey	bej	Stem	2067
tipi	tipi	tip-i	Stem-p3s	2061
soru	soru	soru	Stem	2060
tɑrɯm	tarım	tɑrɯm	Stem	2055
isteen	isteyen	iste-en	Stem-part:pres	2054
zijɑret	ziyaret	zijɑret	Stem	2051
bɑʃɑrɯ	başarı	bɑʃɑrɯ	Stem	2047
insɑnlɑrɯn	insanların	insɑn-lɑr-ɯn	Stem-pl-gen	2038
kuruluʃ	kuruluş	kuruluʃ	Stem	2037
deɰerlendirme	değerlendirme	deɰerlendir-me	Stem-vn:inf	2036
v	v	v	Stem	2035
sigɑrɑ	sigara	sigɑrɑ	Stem	2032
denetim	denetim	denetim	Stem	2031
seʧim	seçim	seʧim	Stem	2030
ɑktif	aktif	ɑktif	Stem	2024
ɑrɑʧ	araç	ɑrɑʧ	Stem	2019
jɑzɯlɯm	yazılım	jɑzɯlɯm	Stem	2019
devletin	devletin	devlet-in	Stem-gen	2013
deprem	deprem	deprem	Stem	2010
ønʤeden	önceden	ønʤeden	Stem	2006
dikkɑte	dikkate	dikkɑt-e	Stem-dat	2006
zorunlu	zorunlu	zorunlu	Stem	2005
iʧeren	içeren	iʧer-en	Stem-part:pres	2002
ɑrɑ	ara	ɑrɑ	Stem	2001
jɑnlɯʃ	yanlış	jɑnlɯʃ	Stem	1998
fotoɰrɑf	fotoğraf	fotoɰrɑf	Stem	1995
doɰu	doğu	doɰu	Stem	1994
